school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
4202004-tg204,0,0,4,0,6,0,0,0,0,2,0,0,0,0
4202010-tg210,0,0,0,0,0,0,0,0,5,0,0,1,0,0
4231058-tg158,2,0,1,0,0,0,0,0,0,1,0,0,0,0
4152012-tg212,0,0,0,0,0,0,0,0,4,0,0,0,0,0
4221017-tg117,1,2,0,0,0,0,0,0,0,0,0,0,0,0
3072001-rj51,0,0,0,0,0,0,0,3,0,0,0,0,0,0
4152008-tg208,0,0,1,0,1,0,0,0,0,0,0,0,0,0
4231064-tg164,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4152024-tg224,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1011009-ct9,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4202058-tg258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4221026-tg126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4221018-tg118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4221040-tg140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4231036-tg136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4231057-tg157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4152013-tg213,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011004-ct4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011008-ct8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4152002-tg202,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4141038-tg138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4141009-tg109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072033-rj83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072027-rj77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3051004-rj4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2051009-mz96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2051006-mz93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031004-mz4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011023-ct23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011020-ct20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011014-ct14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4231084-tg184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
